university,level,source_images,saved_board
Lincoln University,Bachelors,university-of-lincoln-bachelors-graduation-set-1.jpg,templates/Lincoln University/Bachelors/board.png
Liverpool University,Masters,liverpool-university-first-degree-masters-graduation-set-1.jpg,templates/Liverpool University/Masters/board.png
Liverpool University,Bachelors,liverpool-university-bachelors-graduation-set-1.jpg,templates/Liverpool University/Bachelors/board.png
London College of Communication,Masters,university-of-the-arts-london-masters-graduation-set-1.jpg,templates/London College of Communication/Masters/board.png
London College of Communication,Bachelors,university-of-the-arts-london-bachelors-graduation-set-1.jpg,templates/London College of Communication/Bachelors/board.png
London College of Fashion,Masters,university-of-the-arts-london-masters-graduation-set-1.jpg,templates/London College of Fashion/Masters/board.png
London College of Fashion,Bachelors,university-of-the-arts-london-bachelors-graduation-set-1.jpg,templates/London College of Fashion/Bachelors/board.png
London Metropolitan University,Masters,london-metropolitan-university-masters-graduation-set-1-1.jpg,templates/London Metropolitan University/Masters/board.png
London Metropolitan University,Bachelors,london-metropolitan-university-bachelors-graduation-set-1.jpg,templates/London Metropolitan University/Bachelors/board.png
London School of Economics,Masters,lse-masters-graduation-set-1.jpg,templates/London School of Economics/Masters/board.png
London School of Economics,Bachelors,lse-bachelors-graduation-set-1.jpg,templates/London School of Economics/Bachelors/board.png
London School of Hygiene and Tropical Medicine,Masters,university-of-london-masters-graduation-set-1.jpg,templates/London School of Hygiene and Tropical Medicine/Masters/board.png
London School of Hygiene and Tropical Medicine,Bachelors,university-of-london-bachelors-graduation-set-1.jpg,templates/London School of Hygiene and Tropical Medicine/Bachelors/board.png
Loughborough University,Masters,loughborough-university-first-degree-masters-graduation-set-1.png,templates/Loughborough University/Masters/board.png
Loughborough University,Bachelors,loughborough-university-bachelors-graduation-set-10.jpg;loughborough-university-bachelors-graduation-set-1.png,templates/Loughborough University/Bachelors/board.png
Manchester University,Masters,manchester-university-first-degree-masters-graduation-set-1.jpg,templates/Manchester University/Masters/board.png
Manchester University,Bachelors,manchester-university-bachelors-graduation-set-10.jpg;manchester-university-bachelors-graduation-set-1.png,templates/Manchester University/Bachelors/board.png
Marjon University,Masters,plymouth-marjon-university-masters-graduation-set-1.png,templates/Marjon University/Masters/board.png
Marjon University,Bachelors,plymouth-marjon-university-bachelors-graduation-set-1.jpg,templates/Marjon University/Bachelors/board.png
Middlesex University,Bachelors,middlesex-university-bachelors-graduation-set-1.png,templates/Middlesex University/Bachelors/board.png
Newcastle University,Masters,newcastle-university-masters-graduation-set-1.jpg,templates/Newcastle University/Masters/board.png
Newcastle University,Bachelors,newcastle-university-bachelor-graduation-set-1.jpg,templates/Newcastle University/Bachelors/board.png
Nottingham Trent University,Masters,nottingham-trent-university-masters-graduation-set-1.jpg,templates/Nottingham Trent University/Masters/board.png
Nottingham Trent University,Bachelors,nottingham-trent-university-bachelors-graduation-set-1.jpg,templates/Nottingham Trent University/Bachelors/board.png
Nottingham University,Masters,nottingham-university-integrated-masters-graduation-set-1.png,templates/Nottingham University/Masters/board.png
Nottingham University,Bachelors,nottingham-university-bachelors-graduation-set-1.jpg,templates/Nottingham University/Bachelors/board.png
Open University,Masters,open-university-masters-graduation-set-1.jpg,templates/Open University/Masters/board.png
Open University,Bachelors,open-university-bachelors-graduation-set-10.jpg;open-university-bachelors-graduation-set-1.png,templates/Open University/Bachelors/board.png
Oxford Brookes University,Bachelors,oxford-brookes-university-bachelors-graduation-set-1.jpg,templates/Oxford Brookes University/Bachelors/board.png
Oxford University,Bachelors,oxford-university-bachelors-graduation-set-1.png,templates/Oxford University/Bachelors/board.png
Plymouth University,Masters,plymouth-university-masters-graduation-set-1.jpg,templates/Plymouth University/Masters/board.png
Plymouth University,Bachelors,plymouth-university-bachelors-graduation-set-14.jpg;plymouth-university-bachelors-graduation-set-1.png,templates/Plymouth University/Bachelors/board.png
Portsmouth University,Bachelors,portsmouth-university-bachelor-graduation-set-1.jpg,templates/Portsmouth University/Bachelors/board.png
"Queen Mary, University of London",Masters,queen-mary-masters-graduation-set-1.jpg,"templates/Queen Mary, University of London/Masters/board.png"
"Queen Mary, University of London",Bachelors,queen-mary-bachelors-graduation-set-1.jpg,"templates/Queen Mary, University of London/Bachelors/board.png"
Reading University,Masters,university-of-reading-first-degree-masters-graduation-set-1.jpg,templates/Reading University/Masters/board.png
Reading University,Bachelors,university-of-reading-bachelors-graduation-set-1.jpg,templates/Reading University/Bachelors/board.png
Regent College London,Masters,bolton-university-masters-graduation-set-1.png,templates/Regent College London/Masters/board.png
Regent College London,Bachelors,bolton-university-bachelors-graduation-set-regent-college-1.jpg,templates/Regent College London/Bachelors/board.png
Roehampton University,Bachelors,roehampton-university-bachelors-graduation-set-1.jpg,templates/Roehampton University/Bachelors/board.png
"Royal Holloway, University of London",Masters,university-of-london-masters-graduation-set-1.jpg,"templates/Royal Holloway, University of London/Masters/board.png"
"Royal Holloway, University of London",Bachelors,university-of-london-bachelors-graduation-set-1.jpg,"templates/Royal Holloway, University of London/Bachelors/board.png"
Salford University,Masters,university-of-salford-masters-graduation-set-1.jpg,templates/Salford University/Masters/board.png
Salford University,Bachelors,university-of-salford-bachelors-graduation-set-1.jpg,templates/Salford University/Bachelors/board.png
Sheffield Hallam University,Bachelors,sheffield-hallam-university-bachelors-graduation-set-1.jpg,templates/Sheffield Hallam University/Bachelors/board.png
Southampton Solent University,Bachelors,southampton-solent-bachelors-graduation-set-1.jpg,templates/Southampton Solent University/Bachelors/board.png
Staffordshire University,Masters,staffordshire-university-masters-graduation-set-1.png,templates/Staffordshire University/Masters/board.png
Staffordshire University,Bachelors,staffordshire-university-bachelors-graduation-set-1.jpg,templates/Staffordshire University/Bachelors/board.png
Stirling University,Masters,stirling-university-masters-graduation-set-1.png,templates/Stirling University/Masters/board.png
Stirling University,Bachelors,stirling-university-bachelors-graduation-set-1.jpg,templates/Stirling University/Bachelors/board.png
Strathclyde University,Masters,university-of-strathclyde-masters-graduation-set-28.jpg;university-of-strathclyde-masters-graduation-set-1.png,templates/Strathclyde University/Masters/board.png
Strathclyde University,Bachelors,university-of-strathclyde-bachelors-graduation-set-1.jpg,templates/Strathclyde University/Bachelors/board.png
Sunderland University,Masters,sunderland-university-postgraduate-certificates-diplomas-graduation-set-1.jpg,templates/Sunderland University/Masters/board.png
Sunderland University,Bachelors,sunderland-university-bachelors-graduation-set-1.jpg,templates/Sunderland University/Bachelors/board.png
Surrey University,Masters,surrey-university-masters-graduation-set-1.png,templates/Surrey University/Masters/board.png
Surrey University,Bachelors,surrey-university-bachelors-graduation-set-1.png,templates/Surrey University/Bachelors/board.png
Swansea University,Masters,swansea-university-masters-graduation-set-1.png,templates/Swansea University/Masters/board.png
Swansea University,Bachelors,university-of-swansea-bachelors-graduation-set-1.jpg,templates/Swansea University/Bachelors/board.png
Teesside University,Bachelors,teesside-university-bachelors-graduation-set-1.jpg,templates/Teesside University/Bachelors/board.png
Ulster University,Bachelors,copy-of-university-of-ulster-bachelors-graduation-set-12.jpg;copy-of-university-of-ulster-bachelors-graduation-set-1.png,templates/Ulster University/Bachelors/board.png
University College London,Masters,university-college-london-masters-graduation-set-1-1.jpg,templates/University College London/Masters/board.png
University College London,Bachelors,university-college-london-bachelors-graduation-set-1.png,templates/University College London/Bachelors/board.png
